0xcb00 0xcb36 0x36
0xcbc0 0xcbeb 0x2b
0xccd0 0xccff 0x2f
0xcd00 0xcd2f 0x2f
0xcd30 0xcd5f 0x2f
0xcd60 0xcd8f 0x2f
0xcd90 0xcdbf 0x2f
0xcdc0 0xcdef 0x2f
0xcdf0 0xce1f 0x2f
0xce20 0xce4f 0x2f
0xce50 0xce7f 0x2f
0xce80 0xceaf 0x2f
0xceb0 0xcedf 0x2f
0xcee0 0xcf0f 0x2f
0xcf50 0xcf7f 0x2f
0xcf80 0xcfaf 0x2f
0xcfb0 0xcfdf 0x2f
0xcfe0 0xd00f 0x2f
0xd010 0xd03f 0x2f
0xd040 0xd06f 0x2f
0xd070 0xd09f 0x2f
0xd0a0 0xd0cf 0x2f
0xd0d0 0xd0ff 0x2f
0xd100 0xd12f 0x2f
0xd130 0xd15f 0x2f
0xd160 0xd18f 0x2f
0xd190 0xd1bf 0x2f
0xd1c0 0xd1ef 0x2f
0xd1f0 0xd21f 0x2f
0xd220 0xd24f 0x2f
0xd250 0xd27f 0x2f
0xd280 0xd2ab 0x2b
0xd470 0xd49f 0x2f
0xd4a0 0xd4cf 0x2f
0xd4d0 0xd4ff 0x2f
0xd500 0xd52f 0x2f
0xd530 0xd55f 0x2f
0xd560 0xd58f 0x2f
0xd590 0xd5bf 0x2f
0xd5c0 0xd5ef 0x2f
0xd5f0 0xd61f 0x2f
0xd620 0xd64f 0x2f
0xd650 0xd67f 0x2f
0xd680 0xd6af 0x2f
0xd6f0 0xd71f 0x2f
0xd720 0xd74f 0x2f
0xd750 0xd77f 0x2f
0xd780 0xd7af 0x2f
0xd7b0 0xd7df 0x2f
0xd7e0 0xd80f 0x2f
0xd810 0xd83f 0x2f
0xd840 0xd86f 0x2f
0xd870 0xd89f 0x2f
0xd8a0 0xd8cf 0x2f
0xd8d0 0xd8ff 0x2f
0xd900 0xd92f 0x2f
0xd930 0xd95f 0x2f
0xd960 0xd98f 0x2f
0xd990 0xd9bf 0x2f
0xd9c0 0xd9ef 0x2f
0xd9f0 0xda1f 0x2f
0xda20 0xda4f 0x2f
0xda50 0xda7f 0x2f
0xda80 0xdaaf 0x2f
0xdab0 0xdadb 0x2b
0xdae0 0xdb0f 0x2f
0xdb10 0xdb3f 0x2f
0xdb40 0xdb6f 0x2f
0xdb70 0xdb9f 0x2f
0xdba0 0xdbcf 0x2f
0xdbd0 0xdbff 0x2f
0xdc10 0xdc3f 0x2f
0xdca0 0xdccf 0x2f
0xdcd0 0xdcff 0x2f
0xdd00 0xdd2f 0x2f
0xdd30 0xdd5f 0x2f
0xdd60 0xdd8f 0x2f
0xdd90 0xddbf 0x2f
0xddc0 0xddef 0x2f
0xddf0 0xde1f 0x2f
0xde20 0xde4f 0x2f
0xde50 0xde7f 0x2f
0xde80 0xdeaf 0x2f
0xdeb0 0xdedf 0x2f
0xdee0 0xdf0f 0x2f
0xdf10 0xdf3f 0x2f
0xdf40 0xdf6f 0x2f
0xdf70 0xdf9f 0x2f
0xdfa0 0xdfcb 0x2b
0xe150 0xe1e2 0x92
0xe1f0 0xe282 0x92
0xe290 0xe322 0x92
0xe330 0xe3c2 0x92
0xe3d0 0xe462 0x92
0xe470 0xe502 0x92
0xe510 0xe5a2 0x92
0xe5b0 0xe5de 0x2e
0xe5e0 0xe60e 0x2e
0xe610 0xe63e 0x2e
0xe640 0xe66f 0x2f
0xe670 0xe69f 0x2f
0xe6a0 0xe6cf 0x2f
0xe6d0 0xe6ff 0x2f
0xe700 0xe72f 0x2f
0xe730 0xe75f 0x2f
0xe760 0xe78f 0x2f
